-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.30.111, port 55254
[  5] local 192.168.30.190 port 5201 connected to 192.168.30.111 port 38557
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  5]  10.90-11.00  sec  5.75 KBytes   471 Kbits/sec  4.731 ms  0/4 (0%)  
[  5]  11.00-11.10  sec  4.31 KBytes   353 Kbits/sec  4.034 ms  0/3 (0%)  
[  5]  11.10-11.20  sec  5.75 KBytes   471 Kbits/sec  3.267 ms  0/4 (0%)  
[  5]  11.20-11.30  sec  4.31 KBytes   353 Kbits/sec  2.828 ms  0/3 (0%)  
[  5]  11.30-11.40  sec  4.31 KBytes   353 Kbits/sec  2.429 ms  0/3 (0%)  
[  5]  11.40-11.50  sec  5.75 KBytes   471 Kbits/sec  2.639 ms  0/4 (0%)  
[  5]  11.50-11.60  sec  4.31 KBytes   353 Kbits/sec  2.938 ms  0/3 (0%)  
[  5]  11.60-11.70  sec  5.75 KBytes   471 Kbits/sec  3.829 ms  0/4 (0%)  
[  5]  11.70-11.80  sec  4.31 KBytes   353 Kbits/sec  3.269 ms  0/3 (0%)  
[  5]  11.80-11.90  sec  4.31 KBytes   353 Kbits/sec  2.791 ms  0/3 (0%)  
[  5]  11.90-12.00  sec  5.75 KBytes   471 Kbits/sec  2.322 ms  0/4 (0%)  
[  5]  12.00-12.10  sec  4.31 KBytes   353 Kbits/sec  2.577 ms  0/3 (0%)  
[  5]  12.10-12.20  sec  5.75 KBytes   471 Kbits/sec  2.784 ms  0/4 (0%)  
[  5]  12.20-12.30  sec  4.31 KBytes   353 Kbits/sec  2.420 ms  0/3 (0%)  
[  5]  12.30-12.40  sec  4.31 KBytes   353 Kbits/sec  2.070 ms  0/3 (0%)  
[  5]  12.40-12.50  sec  5.75 KBytes   471 Kbits/sec  1.750 ms  0/4 (0%)  
[  5]  12.50-12.60  sec  4.31 KBytes   353 Kbits/sec  1.847 ms  0/3 (0%)  
[  5]  12.60-12.70  sec  0.00 Bytes  0.00 bits/sec  1.847 ms  0/0 (0%)  
[  5]  12.70-12.80  sec  10.1 KBytes   825 Kbits/sec  10.232 ms  0/7 (0%)  
[  5]  12.80-12.90  sec  0.00 Bytes  0.00 bits/sec  10.232 ms  0/0 (0%)  
[  5]  12.90-13.00  sec  10.1 KBytes   825 Kbits/sec  16.636 ms  0/7 (0%)  
[  5]  13.00-13.10  sec  4.31 KBytes   353 Kbits/sec  13.934 ms  0/3 (0%)  
[  5]  13.10-13.20  sec  4.31 KBytes   353 Kbits/sec  11.630 ms  0/3 (0%)  
[  5]  13.20-13.30  sec  5.75 KBytes   471 Kbits/sec  9.495 ms  0/4 (0%)  
[  5]  13.30-13.40  sec  4.31 KBytes   353 Kbits/sec  8.204 ms  0/3 (0%)  
[  5]  13.40-13.50  sec  5.75 KBytes   471 Kbits/sec  6.528 ms  0/4 (0%)  
[  5]  13.50-13.60  sec  4.31 KBytes   353 Kbits/sec  5.976 ms  0/3 (0%)  
[  5]  13.60-13.70  sec  4.31 KBytes   353 Kbits/sec  5.763 ms  0/3 (0%)  
[  5]  13.70-13.80  sec  5.75 KBytes   471 Kbits/sec  5.023 ms  0/4 (0%)  
[  5]  13.80-13.90  sec  4.31 KBytes   353 Kbits/sec  4.602 ms  0/3 (0%)  
[  5]  13.90-14.00  sec  5.75 KBytes   471 Kbits/sec  3.663 ms  0/4 (0%)  
[  5]  14.00-14.10  sec  4.31 KBytes   353 Kbits/sec  3.104 ms  0/3 (0%)  
[  5]  14.10-14.20  sec  4.31 KBytes   353 Kbits/sec  2.733 ms  0/3 (0%)  
[  5]  14.20-14.30  sec  5.75 KBytes   471 Kbits/sec  2.273 ms  0/4 (0%)  
[  5]  14.30-14.40  sec  4.31 KBytes   353 Kbits/sec  1.987 ms  0/3 (0%)  
[  5]  14.40-14.50  sec  5.75 KBytes   471 Kbits/sec  1.630 ms  0/4 (0%)  
[  5]  14.50-14.60  sec  4.31 KBytes   353 Kbits/sec  1.442 ms  0/3 (0%)  
[  5]  14.60-14.70  sec  4.31 KBytes   353 Kbits/sec  1.271 ms  0/3 (0%)  
[  5]  14.70-14.80  sec  5.75 KBytes   471 Kbits/sec  1.101 ms  0/4 (0%)  
[  5]  14.80-14.90  sec  4.31 KBytes   353 Kbits/sec  3.399 ms  0/3 (0%)  
[  5]  14.90-15.00  sec  5.75 KBytes   471 Kbits/sec  5.163 ms  0/4 (0%)  
[  5]  15.00-15.10  sec  4.31 KBytes   353 Kbits/sec  4.421 ms  0/3 (0%)  
[  5]  15.10-15.20  sec  4.31 KBytes   353 Kbits/sec  3.737 ms  0/3 (0%)  
[  5]  15.20-15.30  sec  5.75 KBytes   471 Kbits/sec  3.082 ms  0/4 (0%)  
[  5]  15.30-15.40  sec  4.31 KBytes   353 Kbits/sec  2.838 ms  0/3 (0%)  
[  5]  15.40-15.50  sec  5.75 KBytes   471 Kbits/sec  2.387 ms  0/4 (0%)  
[  5]  15.50-15.60  sec  4.31 KBytes   353 Kbits/sec  2.116 ms  0/3 (0%)  
[  5]  15.60-15.70  sec  4.31 KBytes   353 Kbits/sec  1.867 ms  0/3 (0%)  
[  5]  15.70-15.80  sec  5.75 KBytes   471 Kbits/sec  1.540 ms  0/4 (0%)  
[  5]  15.80-15.90  sec  4.31 KBytes   353 Kbits/sec  1.468 ms  0/3 (0%)  
[  5]  15.90-16.00  sec  5.75 KBytes   471 Kbits/sec  1.297 ms  0/4 (0%)  
[  5]  16.00-16.10  sec  4.31 KBytes   353 Kbits/sec  1.204 ms  0/3 (0%)  
[  5]  16.10-16.20  sec  4.31 KBytes   353 Kbits/sec  1.063 ms  0/3 (0%)  
[  5]  16.20-16.30  sec  5.75 KBytes   471 Kbits/sec  1.056 ms  0/4 (0%)  
[  5]  16.30-16.40  sec  4.31 KBytes   353 Kbits/sec  1.037 ms  0/3 (0%)  
[  5]  16.40-16.50  sec  5.75 KBytes   471 Kbits/sec  0.931 ms  0/4 (0%)  
[  5]  16.50-16.60  sec  4.31 KBytes   353 Kbits/sec  0.894 ms  0/3 (0%)  
[  5]  16.60-16.70  sec  4.31 KBytes   353 Kbits/sec  0.873 ms  0/3 (0%)  
[  5]  16.70-16.80  sec  5.75 KBytes   471 Kbits/sec  0.912 ms  0/4 (0%)  
[  5]  16.80-16.90  sec  4.31 KBytes   353 Kbits/sec  0.951 ms  0/3 (0%)  
[  5]  16.90-17.00  sec  5.75 KBytes   471 Kbits/sec  0.871 ms  0/4 (0%)  
[  5]  17.00-17.10  sec  4.31 KBytes   353 Kbits/sec  1.494 ms  0/3 (0%)  
[  5]  17.10-17.20  sec  4.31 KBytes   353 Kbits/sec  2.136 ms  0/3 (0%)  
[  5]  17.20-17.30  sec  5.75 KBytes   471 Kbits/sec  1.774 ms  0/4 (0%)  
[  5]  17.30-17.40  sec  4.31 KBytes   353 Kbits/sec  1.582 ms  0/3 (0%)  
[  5]  17.40-17.50  sec  5.75 KBytes   471 Kbits/sec  1.313 ms  0/4 (0%)  
[  5]  17.50-17.60  sec  4.31 KBytes   353 Kbits/sec  1.216 ms  0/3 (0%)  
[  5]  17.60-17.70  sec  4.31 KBytes   353 Kbits/sec  1.102 ms  0/3 (0%)  
[  5]  17.70-17.80  sec  5.75 KBytes   471 Kbits/sec  1.134 ms  0/4 (0%)  
[  5]  17.80-17.90  sec  4.31 KBytes   353 Kbits/sec  1.143 ms  0/3 (0%)  
[  5]  17.90-18.00  sec  5.75 KBytes   471 Kbits/sec  1.132 ms  0/4 (0%)  
[  5]  18.00-18.10  sec  4.31 KBytes   353 Kbits/sec  1.078 ms  0/3 (0%)  
[  5]  18.10-18.20  sec  4.31 KBytes   353 Kbits/sec  0.996 ms  0/3 (0%)  
[  5]  18.20-18.30  sec  5.75 KBytes   471 Kbits/sec  0.885 ms  0/4 (0%)  
[  5]  18.30-18.40  sec  4.31 KBytes   353 Kbits/sec  0.893 ms  0/3 (0%)  
[  5]  18.40-18.50  sec  5.75 KBytes   471 Kbits/sec  0.867 ms  0/4 (0%)  
[  5]  18.50-18.60  sec  4.31 KBytes   353 Kbits/sec  0.855 ms  0/3 (0%)  
[  5]  18.60-18.70  sec  4.31 KBytes   353 Kbits/sec  2.036 ms  0/3 (0%)  
[  5]  18.70-18.80  sec  5.75 KBytes   471 Kbits/sec  2.928 ms  0/4 (0%)  
[  5]  18.80-18.90  sec  4.31 KBytes   353 Kbits/sec  2.648 ms  0/3 (0%)  
[  5]  18.90-19.00  sec  4.31 KBytes   353 Kbits/sec  2.301 ms  0/3 (0%)  
[  5]  19.00-19.10  sec  5.75 KBytes   471 Kbits/sec  1.890 ms  0/4 (0%)  
[  5]  19.10-19.20  sec  4.31 KBytes   353 Kbits/sec  1.666 ms  0/3 (0%)  
[  5]  19.20-19.30  sec  5.75 KBytes   471 Kbits/sec  1.420 ms  0/4 (0%)  
[  5]  19.30-19.40  sec  4.31 KBytes   353 Kbits/sec  1.299 ms  0/3 (0%)  
[  5]  19.40-19.50  sec  4.31 KBytes   353 Kbits/sec  1.185 ms  0/3 (0%)  
[  5]  19.50-19.60  sec  5.75 KBytes   471 Kbits/sec  1.028 ms  0/4 (0%)  
[  5]  19.60-19.70  sec  4.31 KBytes   353 Kbits/sec  0.969 ms  0/3 (0%)  
[  5]  19.70-19.80  sec  5.75 KBytes   471 Kbits/sec  0.847 ms  0/4 (0%)  
[  5]  19.80-19.90  sec  4.31 KBytes   353 Kbits/sec  0.817 ms  0/3 (0%)  
[  5]  19.90-20.00  sec  4.31 KBytes   353 Kbits/sec  0.755 ms  0/3 (0%)  
[  5]  20.00-20.10  sec  5.75 KBytes   471 Kbits/sec  0.803 ms  0/4 (0%)  
[  5]  20.10-20.20  sec  4.31 KBytes   353 Kbits/sec  0.989 ms  0/3 (0%)  
[  5]  20.20-20.30  sec  5.75 KBytes   471 Kbits/sec  0.884 ms  0/4 (0%)  
[  5]  20.30-20.40  sec  4.31 KBytes   353 Kbits/sec  0.871 ms  0/3 (0%)  
[  5]  20.40-20.50  sec  4.31 KBytes   353 Kbits/sec  0.805 ms  0/3 (0%)  
[  5]  20.50-20.60  sec  5.75 KBytes   471 Kbits/sec  0.803 ms  0/4 (0%)  
[  5]  20.60-20.70  sec  4.31 KBytes   353 Kbits/sec  0.813 ms  0/3 (0%)  
[  5]  20.70-20.80  sec  5.75 KBytes   471 Kbits/sec  0.739 ms  0/4 (0%)  
[  5]  20.80-20.90  sec  4.31 KBytes   353 Kbits/sec  0.719 ms  0/3 (0%)  
[  5]  20.90-21.00  sec  4.31 KBytes   353 Kbits/sec  0.696 ms  0/3 (0%)  
[  5]  21.00-21.10  sec  5.75 KBytes   471 Kbits/sec  0.653 ms  0/4 (0%)  
[  5]  21.10-21.20  sec  4.31 KBytes   353 Kbits/sec  0.704 ms  0/3 (0%)  
[  5]  21.20-21.30  sec  5.75 KBytes   471 Kbits/sec  0.699 ms  0/4 (0%)  
[  5]  21.30-21.40  sec  4.31 KBytes   353 Kbits/sec  0.763 ms  0/3 (0%)  
[  5]  21.40-21.50  sec  4.31 KBytes   353 Kbits/sec  0.769 ms  0/3 (0%)  
[  5]  21.50-21.60  sec  5.75 KBytes   471 Kbits/sec  0.711 ms  0/4 (0%)  
[  5]  21.60-21.70  sec  4.31 KBytes   353 Kbits/sec  0.677 ms  0/3 (0%)  
[  5]  21.70-21.80  sec  5.75 KBytes   471 Kbits/sec  0.697 ms  0/4 (0%)  
[  5]  21.80-21.90  sec  4.31 KBytes   353 Kbits/sec  0.743 ms  0/3 (0%)  
[  5]  21.90-22.00  sec  4.31 KBytes   353 Kbits/sec  0.699 ms  0/3 (0%)  
